City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-02-01 03:21:29,-33.9258,18.4232,74.12,82,0,1.01
1,Mar Del Plata,AR,2022-02-01 03:24:59,-38.0023,-57.5575,63.88,59,0,5.01
2,Presidente Medici,BR,2022-02-01 03:24:59,-11.1753,-61.9014,70.14,98,100,3.09
3,Yerbogachen,RU,2022-02-01 03:25:00,61.2767,108.0108,-11.24,99,89,2.93
4,Puerto Ayora,EC,2022-02-01 03:25:00,-0.7393,-90.3518,73.54,96,93,5.99
5,Avarua,CK,2022-02-01 03:25:01,-21.2078,-159.775,78.85,83,20,13.8
6,Georgetown,MY,2022-02-01 03:25:01,5.4112,100.3354,87.73,71,20,8.05
7,Hithadhoo,MV,2022-02-01 03:25:01,-0.6,73.0833,82.45,72,9,12.62
8,Rikitea,PF,2022-02-01 03:25:02,-23.1203,-134.9692,78.35,66,93,6.46
9,Mabaruma,GY,2022-02-01 03:25:02,8.2,-59.7833,71.1,96,100,2.42
10,Povenets,RU,2022-02-01 03:25:03,62.8487,34.8262,13.59,95,100,6.93
11,Arraial Do Cabo,BR,2022-02-01 03:25:03,-22.9661,-42.0278,75.06,94,0,0.0
12,Binzhou,CN,2022-02-01 03:25:04,37.3667,118.0167,31.55,30,0,6.58
13,Miami,US,2022-02-01 03:24:20,25.7743,-80.1937,66.0,63,20,1.01
14,Porto Novo,BJ,2022-02-01 03:25:04,6.4965,2.6036,75.02,79,66,6.08
15,Lodja,CD,2022-02-01 03:25:04,-3.4833,23.4333,68.76,98,100,2.15
16,Busselton,AU,2022-02-01 03:25:05,-33.65,115.3333,75.09,34,0,15.28
17,Port Augusta,AU,2022-02-01 03:25:05,-32.5,137.7667,79.7,53,100,20.45
18,Severobaykalsk,RU,2022-02-01 03:25:06,55.65,109.3167,-6.0,93,98,1.95
19,Codrington,AU,2022-02-01 03:25:06,-38.2667,141.9667,62.58,61,88,20.38
20,Faanui,PF,2022-02-01 03:25:06,-16.4833,-151.75,81.18,73,6,19.19
21,Provideniya,RU,2022-02-01 03:25:07,64.3833,-173.3,12.31,62,75,22.37
22,Cabo San Lucas,MX,2022-02-01 03:12:33,22.8909,-109.9124,69.51,58,0,0.0
23,San Cristobal,VE,2022-02-01 03:25:07,7.7669,-72.225,69.98,86,98,2.1
24,Saint-Georges,GD,2022-02-01 03:25:08,12.0564,-61.7485,78.48,78,20,11.5
25,Anadyr,RU,2022-02-01 03:25:08,64.75,177.4833,19.9,68,100,13.42
26,Ipixuna,BR,2022-02-01 03:25:09,-1.7625,-48.8043,76.95,95,94,2.86
27,Manokwari,ID,2022-02-01 03:25:09,-0.8667,134.0833,82.42,62,100,10.29
28,Yellowknife,CA,2022-02-01 03:25:09,62.456,-114.3525,-12.59,87,20,8.05
29,Albany,US,2022-02-01 03:20:43,42.6001,-73.9662,16.38,72,7,1.97
30,Kenai,US,2022-02-01 03:25:10,60.5544,-151.2583,9.03,88,0,6.91
31,Tuktoyaktuk,CA,2022-02-01 03:25:10,69.4541,-133.0374,-20.2,76,40,2.3
32,Kaitangata,NZ,2022-02-01 03:25:11,-46.2817,169.8464,68.94,80,100,7.43
33,Kapaa,US,2022-02-01 03:25:11,22.0752,-159.319,75.18,74,75,6.91
34,Chuy,UY,2022-02-01 03:25:12,-33.6971,-53.4616,60.67,66,0,6.22
35,Goderich,CA,2022-02-01 03:25:12,43.7501,-81.7165,23.32,63,7,12.66
36,Cherskiy,RU,2022-02-01 03:25:12,68.75,161.3,-4.02,87,100,4.85
37,Qaanaaq,GL,2022-02-01 03:25:13,77.484,-69.3632,-19.59,46,3,10.42
38,Ardakan,IR,2022-02-01 03:16:58,32.31,54.0175,48.58,66,100,8.75
39,Ushuaia,AR,2022-02-01 03:25:13,-54.8,-68.3,42.46,81,75,31.07
40,Talnakh,RU,2022-02-01 03:24:36,69.4865,88.3972,6.21,94,98,8.81
41,Kavaratti,IN,2022-02-01 03:16:46,10.5669,72.642,80.49,71,6,7.96
42,Isabela,PH,2022-02-01 03:25:14,6.7085,121.9711,86.05,70,94,7.29
43,Belyy Yar,RU,2022-02-01 03:25:15,53.6039,91.3903,-20.31,76,92,2.24
44,Narsaq,GL,2022-02-01 03:25:15,60.9167,-46.05,25.02,90,100,3.89
45,Taree,AU,2022-02-01 03:26:16,-31.9,152.4667,96.06,66,6,10.36
46,Staraya Poltavka,RU,2022-02-01 03:26:16,50.4772,46.4814,33.28,95,100,14.65
47,Vryburg,ZA,2022-02-01 03:26:16,-26.9566,24.7284,65.25,73,97,5.79
48,Mahebourg,MU,2022-02-01 03:26:17,-20.4081,57.7,81.25,74,75,18.41
49,Cabedelo,BR,2022-02-01 03:23:02,-6.9811,-34.8339,77.67,75,25,9.89
50,Rosehearty,GB,2022-02-01 03:26:18,57.697,-2.1132,52.36,91,100,31.9
51,Tigil,RU,2022-02-01 03:26:18,57.8,158.6667,19.76,83,11,7.38
52,Atuona,PF,2022-02-01 03:26:18,-9.8,-139.0333,78.71,75,13,19.98
53,Port Hardy,CA,2022-02-01 03:26:19,50.6996,-127.4199,39.76,93,75,5.75
54,Dikson,RU,2022-02-01 03:26:19,73.5069,80.5464,-0.15,89,100,20.15
55,Khatanga,RU,2022-02-01 03:26:20,71.9667,102.5,-29.7,100,18,3.47
56,Barrow,US,2022-02-01 03:26:20,71.2906,-156.7887,-14.78,84,100,3.44
57,Flinders,AU,2022-02-01 03:26:20,-34.5833,150.8552,95.2,66,27,4.0
58,Butaritari,KI,2022-02-01 03:26:21,3.0707,172.7902,81.97,78,100,12.64
59,Sonepur,IN,2022-02-01 03:26:21,20.8333,83.9167,67.44,31,14,3.94
60,Abulug,PH,2022-02-01 03:26:22,18.4453,121.4533,74.86,80,90,12.5
61,Agarak,AM,2022-02-01 03:26:22,39.2068,46.5446,32.47,58,100,6.73
62,Severo-Kurilsk,RU,2022-02-01 03:26:22,50.6789,156.125,28.53,74,100,16.67
63,Victoria,HK,2022-02-01 03:25:57,22.2855,114.1577,57.33,86,100,5.99
64,Lebu,CL,2022-02-01 03:26:23,-37.6167,-73.65,57.42,78,0,16.8
65,Anori,BR,2022-02-01 03:26:23,-3.7728,-61.6442,72.79,99,100,2.39
66,Gornopravdinsk,RU,2022-02-01 03:25:42,60.05,69.9,4.06,97,100,4.03
67,Jamestown,US,2022-02-01 03:25:32,42.097,-79.2353,22.64,63,0,5.75
68,Luanda,AO,2022-02-01 03:26:24,-8.8368,13.2343,76.32,82,100,6.51
69,Wawa,NG,2022-02-01 03:26:24,9.9022,4.4192,69.66,22,47,5.82
70,Northam,GB,2022-02-01 03:26:25,51.0333,-4.2167,49.6,86,80,19.6
71,Telemaco Borba,BR,2022-02-01 03:22:45,-24.3239,-50.6156,63.52,99,12,0.96
72,Pevek,RU,2022-02-01 03:26:25,69.7008,170.3133,-16.65,96,71,0.72
73,Komsomolskiy,UZ,2022-02-01 03:26:26,40.4272,71.7189,29.62,86,52,6.91
74,Voloshka,RU,2022-02-01 03:26:26,61.3314,40.0858,12.85,95,99,6.6
75,Lorengau,PG,2022-02-01 03:26:27,-2.0226,147.2712,77.7,91,100,15.23
76,Vaini,TO,2022-02-01 03:26:27,-21.2,-175.2,80.83,72,62,13.91
77,Vila Velha,BR,2022-02-01 03:23:54,-20.3297,-40.2925,75.15,88,75,3.44
78,Abha,SA,2022-02-01 03:23:15,18.2164,42.5053,51.62,87,0,9.22
79,Cordele,US,2022-02-01 03:26:28,31.9635,-83.7824,44.76,75,0,0.0
80,Kaseda,JP,2022-02-01 03:26:28,31.4167,130.3167,54.63,60,81,15.77
81,Moberly,US,2022-02-01 03:26:28,39.4184,-92.4382,53.02,47,0,12.66
82,Mataura,NZ,2022-02-01 03:26:29,-46.1927,168.8643,83.52,41,100,0.98
83,Bluff,NZ,2022-02-01 03:26:29,-46.6,168.3333,63.52,82,100,13.33
84,Kataysk,RU,2022-02-01 03:26:30,56.289,62.5841,4.53,98,100,4.0
85,Rovaniemi,FI,2022-02-01 03:26:30,66.5,25.7167,0.81,85,100,5.75
86,Sitka,US,2022-02-01 03:26:30,57.0531,-135.33,35.49,80,100,3.44
87,Vikhorevka,RU,2022-02-01 03:26:31,56.1201,101.1636,-9.76,98,92,0.94
88,Havre-Saint-Pierre,CA,2022-02-01 03:26:31,50.2334,-63.5986,6.8,71,20,11.5
89,Terenos,BR,2022-02-01 03:26:32,-20.4422,-54.8603,71.31,83,75,6.91
90,Zhigansk,RU,2022-02-01 03:27:32,66.7697,123.3711,-28.43,97,92,6.71
91,Balaipungut,ID,2022-02-01 03:27:33,1.05,101.2833,77.41,72,78,2.62
92,New Norfolk,AU,2022-02-01 03:27:33,-42.7826,147.0587,83.7,53,43,12.1
93,Kruisfontein,ZA,2022-02-01 03:27:34,-34.0033,24.7314,70.88,95,98,2.21
94,Domodossola,IT,2022-02-01 03:27:34,46.1165,8.2931,44.62,63,42,9.1
95,Hobart,AU,2022-02-01 03:27:34,-42.8794,147.3294,84.06,28,0,19.57
96,Punta Arenas,CL,2022-02-01 03:27:35,-53.15,-70.9167,44.71,81,75,19.57
97,Ribeira Grande,PT,2022-02-01 03:27:35,38.5167,-28.7,60.24,73,19,11.68
98,Mandera,KE,2022-02-01 03:27:35,3.9366,41.867,73.26,77,49,7.18
99,Najran,SA,2022-02-01 03:27:36,17.4924,44.1277,54.25,70,58,6.04
100,Hervey Bay,AU,2022-02-01 03:27:36,-25.2986,152.8535,90.03,74,63,15.01
101,Orocue,CO,2022-02-01 03:27:37,4.7912,-71.3354,79.88,35,99,5.14
102,Geraldton,AU,2022-02-01 03:27:37,-28.7667,114.6,90.01,31,7,13.8
103,Bredasdorp,ZA,2022-02-01 03:27:37,-34.5322,20.0403,72.28,98,24,3.98
104,Pitimbu,BR,2022-02-01 03:27:38,-7.4706,-34.8086,77.59,77,35,9.44
105,Husavik,IS,2022-02-01 03:27:38,66.0449,-17.3389,22.91,91,100,19.06
106,Freeport,US,2022-02-01 03:25:00,40.6576,-73.5832,28.38,71,0,1.01
107,Pisco,PE,2022-02-01 03:23:20,-13.7,-76.2167,71.65,78,100,10.36
108,Ahuimanu,US,2022-02-01 03:27:39,21.4447,-157.8378,75.45,70,0,3.0
109,Krivosheino,RU,2022-02-01 03:27:40,57.3431,83.9261,9.95,95,98,7.99
110,Tahta,EG,2022-02-01 03:27:40,26.7693,31.5021,47.66,77,5,3.15
111,Ilulissat,GL,2022-02-01 03:17:59,69.2167,-51.1,6.82,72,100,2.3
112,Jinka,ET,2022-02-01 03:27:41,5.65,36.65,63.91,51,50,2.55
113,Gizo,SB,2022-02-01 03:27:41,-8.103,156.8419,83.79,74,100,5.59
114,Hofn,IS,2022-02-01 03:27:41,64.2539,-15.2082,33.24,73,35,11.1
115,Cidreira,BR,2022-02-01 03:27:42,-30.1811,-50.2056,72.86,87,1,3.44
116,Chumikan,RU,2022-02-01 03:25:48,54.7183,135.315,3.72,75,89,14.63
117,Roma,US,2022-02-01 03:27:42,43.2128,-75.4557,17.87,78,0,6.91
118,Guangyuan,CN,2022-02-01 03:27:43,32.442,105.823,40.69,84,100,3.53
119,Manggar,ID,2022-02-01 03:27:43,-2.8833,108.2667,85.23,64,100,6.55
120,East London,ZA,2022-02-01 03:25:57,-33.0153,27.9116,74.34,88,0,2.3
121,Dali,CN,2022-02-01 03:27:44,25.7,100.1833,48.83,58,28,6.58
122,Padang,ID,2022-02-01 03:27:44,-0.9492,100.3543,82.45,79,93,2.89
123,Jalu,LY,2022-02-01 03:27:45,29.0331,21.5482,51.12,66,1,9.8
124,Manta,EC,2022-02-01 03:27:45,-0.95,-80.7333,74.98,88,75,2.3
125,Lagoa,PT,2022-02-01 03:27:45,39.05,-27.9833,58.87,75,38,22.37
126,Belen,TR,2022-02-01 03:27:46,36.4891,36.2233,32.14,100,75,5.75
127,Bayan,CN,2022-02-01 03:27:46,46.0833,127.4,3.09,89,68,6.67
128,Neiafu,TO,2022-02-01 03:27:47,-18.65,-173.9833,81.45,70,36,9.19
129,Tuatapere,NZ,2022-02-01 03:27:47,-46.1333,167.6833,76.51,45,100,2.46
130,Elumalai,IN,2022-02-01 03:23:38,9.8667,77.7,77.9,79,15,1.21
131,Hilo,US,2022-02-01 03:27:47,19.7297,-155.09,74.25,83,56,1.01
132,Moose Factory,CA,2022-02-01 03:27:48,51.2585,-80.6094,3.2,66,100,6.91
133,Clyde River,CA,2022-02-01 03:27:48,70.4692,-68.5914,-25.37,75,100,4.61
134,Hamilton,US,2022-02-01 03:27:49,39.1834,-84.5333,34.79,73,100,1.01
135,Kungurtug,RU,2022-02-01 03:28:49,50.5994,97.5228,-9.18,93,34,1.12
136,Gadsden,US,2022-02-01 03:28:49,34.0143,-86.0066,47.19,76,0,0.0
137,Guerrero Negro,MX,2022-02-01 03:28:50,27.9769,-114.0611,60.93,74,7,10.2
138,Nizhniy Kuranakh,RU,2022-02-01 03:28:50,58.8353,125.4869,-4.5,93,100,5.57
139,Grindavik,IS,2022-02-01 03:28:51,63.8424,-22.4338,34.27,75,100,29.93
140,Hermanus,ZA,2022-02-01 03:28:21,-34.4187,19.2345,73.9,88,3,6.8
141,Ancud,CL,2022-02-01 03:28:51,-41.8697,-73.8203,57.22,88,82,6.51
142,Bardiyah,LY,2022-02-01 03:28:52,31.7561,25.0865,52.5,78,8,13.51
143,Sola,VU,2022-02-01 03:28:52,-13.8833,167.55,83.07,89,75,0.0
144,Mitchell,US,2022-02-01 03:28:53,43.7094,-98.0298,42.78,62,0,7.0
145,Saint-Philippe,RE,2022-02-01 03:28:53,-21.3585,55.7679,80.15,80,99,14.12
146,La Rioja,ES,2022-02-01 03:28:53,42.25,-2.5,39.31,97,100,13.91
147,Merauke,ID,2022-02-01 03:28:54,-8.4667,140.3333,79.52,82,100,9.55
148,San Lawrenz,MT,2022-02-01 03:28:54,36.0553,14.204,54.86,79,93,7.0
149,Jumla,NP,2022-02-01 03:28:55,29.2747,82.1838,37.04,46,3,3.15
150,Beringovskiy,RU,2022-02-01 03:28:55,63.05,179.3167,9.91,93,100,16.64
151,Port Elizabeth,ZA,2022-02-01 03:28:56,-33.918,25.5701,73.09,100,75,4.61
152,Bathsheba,BB,2022-02-01 03:28:56,13.2167,-59.5167,77.61,83,40,12.66
153,Kailua,US,2022-02-01 03:28:42,21.4022,-157.7394,75.74,72,0,6.91
154,San Patricio,US,2022-02-01 03:28:57,28.017,-97.5169,62.69,91,99,10.04
155,Eureka,US,2022-02-01 03:28:57,40.8021,-124.1637,48.25,82,40,8.01
156,Murdochville,CA,2022-02-01 03:28:58,48.9583,-65.5006,5.88,95,10,3.83
157,Saskylakh,RU,2022-02-01 03:28:58,71.9167,114.0833,-28.97,100,69,2.08
158,Alta Floresta,BR,2022-02-01 03:28:58,-9.8756,-56.0861,70.54,97,100,1.45
159,Nikolskoye,RU,2022-02-01 03:28:59,59.7035,30.7861,24.69,97,99,4.59
160,Hasaki,JP,2022-02-01 03:28:59,35.7333,140.8333,48.6,37,100,1.21
161,Port Alfred,ZA,2022-02-01 03:27:17,-33.5906,26.891,74.73,96,99,3.62
162,Longyearbyen,SJ,2022-02-01 03:29:00,78.2186,15.6401,13.84,67,40,2.3
163,Castro,BR,2022-02-01 03:28:18,-24.7911,-50.0119,62.08,90,3,2.21
164,Cayenne,GF,2022-02-01 03:29:00,4.9333,-52.3333,80.1,85,40,5.99
165,Rafaela,AR,2022-02-01 03:29:01,-31.2503,-61.4867,73.98,47,0,4.0
166,Carnarvon,AU,2022-02-01 03:29:01,-24.8667,113.6333,87.87,58,12,20.71
167,Phitsanulok,TH,2022-02-01 03:29:02,16.9167,100.5,82.47,58,44,10.27
168,Abbeville,FR,2022-02-01 03:29:02,50.1,1.8333,46.36,88,58,10.27
