City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-01-31 06:09:29,-38.0023,-57.5575,60.87,67,99,7.0
1,Rikitea,PF,2022-01-31 06:04:40,-23.1203,-134.9692,77.27,63,100,5.53
2,Vardo,NO,2022-01-31 06:09:30,70.3705,31.1107,21.4,74,55,15.43
3,Saint-Philippe,RE,2022-01-31 06:09:30,-21.3585,55.7679,85.55,83,86,13.85
4,Udachnyy,RU,2022-01-31 06:09:31,66.4167,112.4,-25.89,99,74,3.09
5,Hobart,AU,2022-01-31 06:09:31,-42.8794,147.3294,84.27,58,20,1.01
6,Bluff,NZ,2022-01-31 06:09:32,-46.6,168.3333,62.31,86,97,3.71
7,Mataura,NZ,2022-01-31 06:04:54,-46.1927,168.8643,72.48,60,94,3.98
8,Makakilo City,US,2022-01-31 06:09:33,21.3469,-158.0858,72.68,71,40,3.44
9,Kilindoni,TZ,2022-01-31 06:09:33,-7.9139,39.6668,81.41,76,52,8.75
10,Busselton,AU,2022-01-31 06:09:34,-33.65,115.3333,80.1,29,92,17.07
11,Egvekinot,RU,2022-01-31 06:07:06,66.3167,-179.1667,0.41,65,58,8.57
12,Shangqiu,CN,2022-01-31 06:07:04,34.45,115.65,44.6,24,50,6.35
13,Georgiyevka,KZ,2022-01-31 06:06:12,43.0369,74.7114,24.84,93,100,2.24
14,Vao,NC,2022-01-31 06:06:15,-22.6667,167.4833,79.72,78,56,2.8
15,Port Alfred,ZA,2022-01-31 06:04:56,-33.5906,26.891,76.19,79,100,12.44
16,Ushuaia,AR,2022-01-31 06:07:26,-54.8,-68.3,36.18,92,72,4.94
17,Yellowknife,CA,2022-01-31 06:08:54,62.456,-114.3525,-12.59,95,100,10.18
18,Kastornoye,RU,2022-01-31 06:09:35,51.8334,38.1302,27.97,96,98,15.46
19,Fort Nelson,CA,2022-01-31 06:09:36,58.8053,-122.7002,-4.41,77,100,8.05
20,Bayji,IQ,2022-01-31 06:09:37,34.9311,43.487,48.36,59,0,3.85
21,Bengkulu,ID,2022-01-31 06:06:54,-3.8004,102.2655,85.39,64,90,6.91
22,Hermanus,ZA,2022-01-31 06:09:37,-34.4187,19.2345,78.91,76,100,12.8
23,Sao Filipe,CV,2022-01-31 06:09:38,14.8961,-24.4956,71.58,74,100,8.95
24,Potosi,BO,2022-01-31 06:09:38,-19.5836,-65.7531,43.11,85,95,4.85
25,Nikolskoye,RU,2022-01-31 06:09:39,59.7035,30.7861,26.49,97,100,4.65
26,Longyearbyen,SJ,2022-01-31 06:09:39,78.2186,15.6401,8.44,66,40,23.02
27,Punta Arenas,CL,2022-01-31 06:09:40,-53.15,-70.9167,48.31,71,40,14.97
28,Tura,IN,2022-01-31 06:09:34,25.5198,90.2201,69.1,35,2,4.7
29,Salem,IN,2022-01-31 06:07:53,11.65,78.1667,85.73,52,6,1.23
30,Avera,US,2022-01-31 06:09:40,33.194,-82.5271,46.27,87,2,7.05
31,Dikson,RU,2022-01-31 06:09:41,73.5069,80.5464,-3.37,94,100,22.3
32,Comodoro Rivadavia,AR,2022-01-31 06:09:42,-45.8667,-67.5,55.26,38,0,16.11
33,Bogo,PH,2022-01-31 06:09:42,11.0517,124.0055,84.43,67,46,9.84
34,Vaini,TO,2022-01-31 06:09:42,-21.2,-175.2,81.28,70,100,15.46
35,Sitka,US,2022-01-31 06:09:43,57.0531,-135.33,33.69,86,0,0.0
36,Sao Felix Do Xingu,BR,2022-01-31 06:09:44,-6.6447,-51.995,68.94,98,100,0.63
37,Nuuk,GL,2022-01-31 06:09:44,64.1835,-51.7216,4.14,78,100,11.77
38,Qaanaaq,GL,2022-01-31 06:09:45,77.484,-69.3632,-6.9,91,100,5.97
39,Kamennogorsk,RU,2022-01-31 06:09:45,60.9545,29.1339,26.83,94,100,8.16
40,Torbay,CA,2022-01-31 06:09:45,47.6666,-52.7314,35.58,84,93,5.01
41,Goryachegorsk,RU,2022-01-31 06:09:46,55.4053,88.9154,22.77,71,19,1.34
42,Bonavista,CA,2022-01-31 06:09:46,48.6499,-53.1147,36.12,76,67,23.85
43,Jamestown,US,2022-01-31 06:06:54,42.097,-79.2353,13.71,100,0,5.75
44,Doha,QA,2022-01-31 06:09:41,25.2867,51.5333,66.18,63,0,6.91
45,Atuona,PF,2022-01-31 06:09:47,-9.8,-139.0333,78.12,75,9,15.41
46,Cochrane,CA,2022-01-31 06:09:48,51.1834,-114.4687,40.05,65,100,6.76
47,Severo-Kurilsk,RU,2022-01-31 06:10:48,50.6789,156.125,28.56,81,98,14.2
48,Mahebourg,MU,2022-01-31 06:10:49,-20.4081,57.7,86.25,74,75,14.97
49,El Copey,CO,2022-01-31 06:10:49,10.1503,-73.9614,72.18,76,59,0.69
50,Puerto Ayora,EC,2022-01-31 06:10:50,-0.7393,-90.3518,72.75,85,100,5.48
51,Barrow,US,2022-01-31 06:10:50,71.2906,-156.7887,-7.58,84,0,13.8
52,Ulladulla,AU,2022-01-31 06:06:52,-35.35,150.4667,82.87,74,42,9.28
53,Yulara,AU,2022-01-31 06:10:51,-25.2406,130.9889,85.84,62,75,5.75
54,Lorengau,PG,2022-01-31 06:10:51,-2.0226,147.2712,81.28,81,100,15.93
55,Vyazemskiy,RU,2022-01-31 06:10:52,47.5378,134.7525,0.66,90,76,4.63
56,Pangai,TO,2022-01-31 06:10:52,-19.8,-174.35,81.5,70,100,11.52
57,Hambantota,LK,2022-01-31 06:10:53,6.1241,81.1185,85.62,65,17,12.21
58,Hilo,US,2022-01-31 06:07:16,19.7297,-155.09,69.8,83,75,6.91
59,Prince Rupert,CA,2022-01-31 06:10:53,54.3161,-130.3201,37.09,87,100,6.91
