City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-01-31 21:46:43,-23.1203,-134.9692,77.59,65,81,4.18
1,Punta Arenas,CL,2022-01-31 21:42:26,-53.15,-70.9167,46.51,81,100,34.52
2,Belyy,RU,2022-01-31 21:46:44,55.8402,32.9419,24.06,99,100,2.04
3,Dunedin,NZ,2022-01-31 21:46:44,-45.8742,170.5036,68.81,72,71,8.01
4,Hobart,AU,2022-01-31 21:44:27,-42.8794,147.3294,75.06,76,20,1.01
5,Torbay,CA,2022-01-31 21:46:45,47.6666,-52.7314,32.77,74,75,14.97
6,Vaini,TO,2022-01-31 21:46:45,-21.2,-175.2,82.56,83,40,8.05
7,Boa Vista,BR,2022-01-31 21:45:52,2.8197,-60.6733,89.58,45,40,12.66
8,New Norfolk,AU,2022-01-31 21:46:46,-42.7826,147.0587,74.7,64,22,5.57
9,Puerto Ayora,EC,2022-01-31 21:44:57,-0.7393,-90.3518,78.76,93,62,3.0
10,Zell Am See,AT,2022-01-31 21:46:47,47.3256,12.7944,34.7,56,100,6.08
11,Bluff,NZ,2022-01-31 21:46:47,-46.6,168.3333,72.81,81,26,3.24
12,Hermanus,ZA,2022-01-31 21:44:05,-34.4187,19.2345,75.9,83,14,9.35
13,Cape Town,ZA,2022-01-31 21:46:48,-33.9258,18.4232,75.11,78,0,1.01
14,Qaanaaq,GL,2022-01-31 21:46:48,77.484,-69.3632,-21.78,46,0,8.77
15,Graham,US,2022-01-31 21:46:49,47.0529,-122.2943,46.78,77,100,1.99
16,Casablanca,MA,2022-01-31 21:46:49,33.5928,-7.6192,60.33,87,0,5.99
17,Garden City,US,2022-01-31 21:44:19,42.3256,-83.331,30.81,61,0,6.91
18,Harper,LR,2022-01-31 21:46:49,4.375,-7.7169,79.52,83,36,4.9
19,Yellowknife,CA,2022-01-31 21:42:02,62.456,-114.3525,-7.58,77,20,11.5
20,Mataura,NZ,2022-01-31 21:46:50,-46.1927,168.8643,72.48,61,54,1.63
21,Vao,NC,2022-01-31 21:46:50,-22.6667,167.4833,77.67,85,100,9.17
22,Ribeira Grande,PT,2022-01-31 21:46:51,38.5167,-28.7,61.2,72,40,16.11
23,Lagoa,PT,2022-01-31 21:46:51,39.05,-27.9833,58.69,79,26,24.38
24,Chokurdakh,RU,2022-01-31 21:46:52,70.6333,147.9167,-16.06,96,100,2.37
25,Busselton,AU,2022-01-31 21:45:27,-33.65,115.3333,57.09,64,24,15.23
26,Barrow,US,2022-01-31 21:46:52,71.2906,-156.7887,-14.78,76,0,9.22
27,Tuatapere,NZ,2022-01-31 21:46:53,-46.1333,167.6833,72.82,63,61,1.7
28,Borogontsy,RU,2022-01-31 21:46:53,62.6683,131.1683,-26.21,98,100,3.33
29,Coahuayana,MX,2022-01-31 21:46:54,18.7333,-103.6833,90.88,49,0,7.31
30,Florence,IT,2022-01-31 21:42:11,43.7667,11.25,47.88,82,0,9.22
31,Novikovo,RU,2022-01-31 21:46:54,51.1537,37.8879,27.82,93,99,14.38
32,Novoagansk,RU,2022-01-31 21:44:44,61.9449,76.6625,-0.38,100,95,5.3
33,Isangel,VU,2022-01-31 21:46:55,-19.55,169.2667,80.71,94,100,5.75
34,Jamestown,US,2022-01-31 21:46:03,42.097,-79.2353,33.12,50,0,0.0
35,Caborca,MX,2022-01-31 21:46:56,30.5838,-111.101,67.55,17,38,4.61
36,Danjiangkou,CN,2022-01-31 21:46:56,32.5428,111.5086,32.86,53,71,1.86
37,Cherskiy,RU,2022-01-31 21:46:57,68.75,161.3,-13.4,94,100,3.89
38,Ushuaia,AR,2022-01-31 21:42:36,-54.8,-68.3,46.06,76,75,27.63
39,Tiksi,RU,2022-01-31 21:46:57,71.6872,128.8694,-11.2,99,100,6.62
40,Carthage,TN,2022-01-31 21:46:58,36.8611,10.3316,56.75,74,18,28.52
41,San Francisco Del Mar,MX,2022-01-31 21:46:58,16.2333,-94.65,79.11,62,0,9.89
42,Valdivia,CL,2022-01-31 21:46:58,-39.8142,-73.2459,73.49,48,0,4.21
43,Hamilton,US,2022-01-31 21:45:17,39.1834,-84.5333,40.66,56,0,1.01
44,Lebu,CL,2022-01-31 21:45:25,-37.6167,-73.65,60.3,69,0,18.75
45,Semey,KZ,2022-01-31 21:46:59,50.4111,80.2275,2.44,97,23,5.21
46,Pontianak,ID,2022-01-31 21:46:59,-0.0333,109.3333,71.58,100,100,1.14
47,Saint-Leu,RE,2022-01-31 21:48:00,-21.15,55.2833,77.86,79,86,15.64
48,Airai,TL,2022-01-31 21:47:27,-8.9266,125.4092,59.99,87,84,4.34
49,Maluso,PH,2022-01-31 21:48:00,6.543,121.8753,78.76,82,94,4.27
50,The Valley,AI,2022-01-31 21:48:01,18.217,-63.0578,82.26,69,40,10.36
51,Seversk,RU,2022-01-31 21:48:01,56.6006,84.8864,17.1,86,100,6.55
52,Durban,ZA,2022-01-31 21:48:01,-29.8579,31.0292,78.93,91,95,4.0
53,Butaritari,KI,2022-01-31 21:48:02,3.0707,172.7902,81.25,79,91,14.14
54,Lompoc,US,2022-01-31 21:45:07,34.6391,-120.4579,66.51,67,0,3.44
55,Portland,US,2022-01-31 21:46:51,45.5234,-122.6762,48.63,77,75,1.01
56,Yuanping,CN,2022-01-31 21:48:03,38.7153,112.7575,18.59,41,0,2.39
57,Port Hueneme,US,2022-01-31 21:48:03,34.1478,-119.1951,68.02,60,100,8.05
58,Beringovskiy,RU,2022-01-31 21:48:04,63.05,179.3167,-1.5,90,94,17.83
59,Tacna,PE,2022-01-31 21:48:04,-18.0056,-70.2483,71.8,49,0,11.5
60,Mahebourg,MU,2022-01-31 21:48:05,-20.4081,57.7,79.25,83,75,18.41
61,Mar Del Plata,AR,2022-01-31 21:48:05,-38.0023,-57.5575,68.02,56,0,8.99
62,Victoria,HK,2022-01-31 21:44:24,22.2855,114.1577,58.24,89,99,1.01
63,Port Alfred,ZA,2022-01-31 21:47:22,-33.5906,26.891,75.33,95,100,6.29
64,Bubaque,GW,2022-01-31 21:48:06,11.2833,-15.8333,78.22,76,88,16.53
65,Pisco,PE,2022-01-31 21:48:06,-13.7,-76.2167,75.25,64,0,21.85
66,Cabo San Lucas,MX,2022-01-31 21:48:07,22.8909,-109.9124,78.62,59,1,5.99
67,Oyama,JP,2022-01-31 21:48:07,36.3,139.8,39.58,45,0,2.82
68,Tramore,IE,2022-01-31 21:48:07,52.1624,-7.1524,49.48,76,99,1.99
69,Yuzhou,CN,2022-01-31 21:48:08,34.1628,113.4639,34.07,57,90,4.32
70,Ancud,CL,2022-01-31 21:48:08,-41.8697,-73.8203,63.43,68,1,9.19
71,Port Hedland,AU,2022-01-31 21:48:09,-20.3167,118.5667,82.45,89,100,12.66
72,Kavieng,PG,2022-01-31 21:48:09,-2.5744,150.7967,80.92,78,100,8.3
73,Acapulco,MX,2022-01-31 21:46:37,16.8634,-99.8901,84.02,65,40,9.22
74,Narsaq,GL,2022-01-31 21:46:25,60.9167,-46.05,26.82,94,100,7.47
75,Avarua,CK,2022-01-31 21:48:10,-21.2078,-159.775,78.85,83,75,5.75
76,Bethel,US,2022-01-31 21:46:25,41.3712,-73.414,28.99,85,78,1.68
77,Thompson,CA,2022-01-31 21:46:13,55.7435,-97.8558,1.56,85,100,6.91
78,Iqaluit,CA,2022-01-31 21:48:11,63.7506,-68.5145,-27.31,74,20,1.99
79,Nome,US,2022-01-31 21:48:11,64.5011,-165.4064,15.87,45,0,12.66
80,Bengkulu,ID,2022-01-31 21:45:19,-3.8004,102.2655,75.4,87,99,3.4
81,Port Macquarie,AU,2022-01-31 21:44:23,-31.4333,152.9167,78.89,94,40,1.14
82,Flinders,AU,2022-01-31 21:48:12,-34.5833,150.8552,79.05,87,11,7.0
83,Georgetown,MY,2022-01-31 21:44:50,5.4112,100.3354,80.53,88,20,1.01
84,Nosy Varika,MG,2022-01-31 21:48:12,-20.5833,48.5333,75.65,85,83,5.06
85,Bindura,ZW,2022-01-31 21:48:13,-17.3019,31.3306,62.6,98,5,1.41
86,Biguacu,BR,2022-01-31 21:48:13,-27.4942,-48.6556,81.01,96,39,1.99
87,Hithadhoo,MV,2022-01-31 21:48:13,-0.6,73.0833,82.24,73,27,10.11
88,East London,ZA,2022-01-31 21:48:14,-33.0153,27.9116,76.96,80,100,2.15
89,Ozernovskiy,RU,2022-01-31 21:48:14,51.5,156.5167,21.43,77,99,11.68
90,Vardo,NO,2022-01-31 21:48:15,70.3705,31.1107,15.78,86,0,20.71
91,Fayaoue,NC,2022-01-31 21:48:15,-20.65,166.5333,81.46,76,99,10.76
92,Lengshuijiang,CN,2022-01-31 21:48:15,27.6881,111.4294,36.97,100,100,2.08
93,Provideniya,RU,2022-01-31 21:43:42,64.3833,-173.3,8.71,56,75,22.37
94,San Patricio,US,2022-01-31 21:49:16,28.017,-97.5169,76.98,87,100,7.61
95,Opuwo,NA,2022-01-31 21:49:16,-18.0607,13.84,66.94,57,100,10.98
96,La Libertad,EC,2022-01-31 21:49:17,-2.2333,-80.9,80.26,74,75,8.05
97,Moissac,FR,2022-01-31 21:49:17,44.1024,1.0945,46.33,80,100,13.44
98,Port Lincoln,AU,2022-01-31 21:49:18,-34.7333,135.8667,64.08,76,57,18.88
99,Bereda,ES,2022-01-31 21:48:15,43.2686,-7.5406,47.91,95,42,6.96
100,Kapaa,US,2022-01-31 21:49:18,22.0752,-159.319,77.11,70,0,3.0
101,Stillwater,US,2022-01-31 21:49:19,36.1156,-97.0584,72.82,28,0,4.0
102,Okha,RU,2022-01-31 21:49:19,53.5739,142.9478,4.19,91,99,24.45
103,Kaitangata,NZ,2022-01-31 21:49:19,-46.2817,169.8464,70.93,72,49,3.62
104,Albany,US,2022-01-31 21:45:55,42.6001,-73.9662,30.15,83,8,2.15
105,Poronaysk,RU,2022-01-31 21:49:20,49.2167,143.1167,9.34,82,100,8.21
106,Iracoubo,GF,2022-01-31 21:49:20,5.4802,-53.2011,76.84,85,100,9.62
107,Kendari,ID,2022-01-31 21:49:21,-3.945,122.4989,74.44,94,100,2.13
108,Tuktoyaktuk,CA,2022-01-31 21:49:21,69.4541,-133.0374,-14.8,76,75,2.3
109,Hilo,US,2022-01-31 21:48:46,19.7297,-155.09,80.33,59,20,6.91
110,Mopti,ML,2022-01-31 21:49:22,14.6667,-4.0,78.84,22,0,4.61
111,Upernavik,GL,2022-01-31 21:49:22,72.7868,-56.1549,-19.77,99,90,4.92
112,Cidreira,BR,2022-01-31 21:49:23,-30.1811,-50.2056,75.45,79,35,8.48
113,Hasaki,JP,2022-01-31 21:47:43,35.7333,140.8333,28.8,43,68,8.95
114,Vytegra,RU,2022-01-31 21:49:23,61.0064,36.4481,20.07,92,100,8.39
115,Korla,CN,2022-01-31 21:49:24,41.7597,86.1469,22.59,55,62,2.3
116,Praya,CV,2022-01-31 21:49:24,14.9215,-23.5087,70.34,83,0,13.8
117,Sur,OM,2022-01-31 21:49:25,22.5667,59.5289,72.21,62,0,6.08
118,Makrana,IN,2022-01-31 21:49:25,27.05,74.7167,59.16,38,0,4.07
119,Caravelas,BR,2022-01-31 21:49:26,-17.7125,-39.2481,79.88,83,1,8.68
120,Dikson,RU,2022-01-31 21:49:26,73.5069,80.5464,-4.05,92,100,18.19
121,Atuona,PF,2022-01-31 21:49:26,-9.8,-139.0333,78.44,74,20,21.21
122,Port-Gentil,GA,2022-01-31 21:49:27,-0.7193,8.7815,80.78,79,35,9.28
123,Ilhabela,BR,2022-01-31 21:49:28,-23.7781,-45.3581,76.48,86,95,5.17
124,Svetlyy,RU,2022-01-31 21:49:28,54.675,20.1347,33.85,61,98,14.52
125,Maningrida,AU,2022-01-31 21:49:28,-12.0667,134.2667,79.03,88,100,17.27
126,Barcelos,PT,2022-01-31 21:48:03,41.5388,-8.6151,50.85,78,1,6.98
127,Carnarvon,AU,2022-01-31 21:49:29,-24.8667,113.6333,77.07,83,0,13.8
128,Hue,VN,2022-01-31 21:49:29,16.4667,107.6,64.51,88,75,6.91
129,Husavik,IS,2022-01-31 21:49:30,66.0449,-17.3389,21.11,94,100,7.36
130,Conceicao Do Araguaia,BR,2022-01-31 21:49:30,-8.2578,-49.2647,75.33,90,99,4.07
131,Kodiak,US,2022-01-31 21:48:35,57.79,-152.4072,26.11,80,100,0.0
132,Mount Gambier,AU,2022-01-31 21:45:15,-37.8333,140.7667,62.51,72,100,18.41
133,Aracati,BR,2022-01-31 21:49:31,-4.5617,-37.7697,81.25,74,33,13.53
134,Salalah,OM,2022-01-31 21:49:31,17.0151,54.0924,69.89,73,20,4.61
135,Conakry,GN,2022-01-31 21:49:32,9.538,-13.6773,80.67,83,67,6.91
136,Saint-Philippe,RE,2022-01-31 21:49:32,-21.3585,55.7679,78.39,79,97,14.79
137,Bredasdorp,ZA,2022-01-31 21:50:33,-34.5322,20.0403,73.27,83,56,9.22
138,Vestmannaeyjar,IS,2022-01-31 21:50:33,63.4427,-20.2734,41.52,79,100,32.73
139,Sitka,US,2022-01-31 21:46:03,57.0531,-135.33,35.49,80,100,3.44
140,Maputo,MZ,2022-01-31 21:50:34,-25.9653,32.5892,78.22,83,20,1.99
141,Makaryev,RU,2022-01-31 21:50:34,57.8797,43.8069,22.19,95,99,8.19
142,Kirkuk,IQ,2022-01-31 21:50:35,35.4681,44.3922,45.54,68,100,10.98
143,Bathsheba,BB,2022-01-31 21:50:35,13.2167,-59.5167,84.81,65,40,12.66
